Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
1102 10TH ST,MISC - Exempt-Misc since 2/1/2004,n/a,n/a,(no active services),n/a
1102 10TH ST #A,MISC - Exempt-Misc since 2/1/2004,n/a,n/a,"Electricity, Gas, Storage, Water",n/a
1104 10TH ST,COMM - Commercial since 12/14/1993,n/a,n/a,(no active services),n/a
1110 10TH ST,COMM - Commercial since 7/1/2005,n/a,n/a,(no active services),n/a
1402 10TH ST,(~) MISC - Exempt-Misc since 1/23/1981,n/a,n/a,(no active services),n/a
1411 10TH ST,(~) MISC - Exempt-Misc since 7/31/1990,n/a,n/a,(no active services),n/a
1451 10TH ST,RENTED - Rented or Available since 10/1/2011,n/a,"$1,820.36",Garbage,# Bed: 2
1455 10TH ST,OOCC - Owner Occupied since 10/1/1990,n/a,n/a,(no active services),n/a
1480 10TH ST,(~) MISC - Exempt-Misc since 5/1/1996,n/a,n/a,"Laundry Access, Parking, Storage",n/a
1504 10TH ST,RENTED - Rented or Available since 10/7/1999,n/a,$917.51,"Garbage, Parking, Storage, Water",# Bed: 1
1506 10TH ST,RENTED - Rented or Available,4/10/03,"$1,439.92",Appliances,# Bed: 1# Occ: 3
1508 10TH ST,RENTED - Rented or Available since 10/7/1999,n/a,$917.51,"Garbage, Water",# Bed: 1
1510 10TH ST,RENTED - Rented or Available,1/7/15,"$1,640.00","Appliances, Storage",# Bed: 1# Occ: 1
1512 10TH ST,RENTED - Rented or Available,8/4/12,"$1,421.42","Appliances, Storage",# Bed: 1# Occ: 2
1514 10TH ST,RENTED - Rented or Available,2/1/10,"$1,392.55","Storage, Water",# Bed: 1# Occ: 1
1606 10TH ST,RENTED - Rented or Available,5/31/80,$962.24,"Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 0
1608 10TH ST,RENTED - Rented or Available,5/31/80,$772.43,"Garbage, Parking, Storage, Water",# Bed: 1# Occ: 0
1642 10TH ST,OOCC - Owner Occupied since 4/26/2011,n/a,n/a,(no active services),n/a
1644 10TH ST,RENTED - Rented or Available,6/15/12,"$1,500.38","Garbage, Laundry Access, Storage, Water",# Bed: 2# Occ: 2
1654 10TH ST,OOCC - Owner Occupied since 3/8/1994,n/a,n/a,(no active services),n/a
1700 10TH ST,RENTED - Rented or Available,11/1/11,"$2,569.92","Appliances, Laundry Access",# Bed: 3# Occ: 3
1704 10TH ST,RENTED - Rented or Available,6/1/16,"$2,800.00","Appliances, Garbage, Laundry Access",# Bed: 2# Occ: 3
1708 10TH ST,RENTED - Rented or Available,7/8/16,"$3,550.00","Garbage, Water",# Bed: 1# Occ: 2
